username,video_id,title,webpage_url,upload_date,timestamp,duration,view_count,like_count,comment_count,repost_count,thumbnail,collected_at
sierrenataraa,7634660599686843679,sooo good  #acaibowl #foodreview #fyp ,https://www.tiktok.com/@sierrenataraa/video/7634660599686843679,20260430,1777582962,68,838,88,4,1,https://p19-common-sign.tiktokcdn-us.com/tos-useast8-p-0068-tx2/owQOnneRTFwseAGSdcQA3vgQ2hY1RzDmf4eTuU~tplv-tiktokx-origin.image?dr=9636&x-expires=1777777200&x-signature=PPoQpk%2Bv7sTkWNVI3WwMNmygQUk%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,2026-05-01T04:00:32.651762+00:00
sierrenataraa,7633643567193328926,I can’t belive I turned my mom’s texts into such a catchy song! @Suno...,https://www.tiktok.com/@sierrenataraa/video/7633643567193328926,20260428,1777346162,30,6297,169,2,7,https://p19-common-sign.tiktokcdn-us.com/tos-useast8-p-0068-tx2/oU8EzHF8fIDsLqBAXwMAfNEppwITRYcEVBnCJB~tplv-tiktokx-origin.image?dr=9636&x-expires=1777777200&x-signature=Dcmqu43i1TMEYX0FYupwn0P9s1o%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,2026-05-01T04:00:32.651762+00:00
sierrenataraa,7632129790144826655,matchinggg 💕 @Queen @I.AM.GIA #fyp #lmu ,https://www.tiktok.com/@sierrenataraa/video/7632129790144826655,20260424,1776993712,6,4510,301,6,8,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-p-0068-tx2/ow1IAi6CIJnI0Axfqs19zWbanZGBCAiXq9Jibi~tplv-tiktokx-origin.image?dr=9636&x-expires=1777777200&x-signature=2yGdkr17hak%2F6jBlj2VyyNPKBd8%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,2026-05-01T04:00:32.651762+00:00
sierrenataraa,7631732858985434399,otw to class @I.AM.GIA #fyp ,https://www.tiktok.com/@sierrenataraa/video/7631732858985434399,20260422,1776901292,7,3630,352,6,16,https://p19-common-sign.tiktokcdn-us.com/tos-useast8-p-0068-tx2/ogzlKAAdFiO8sni0A9C9IXIpvbCHlAiqXB9Iei~tplv-tiktokx-origin.image?dr=9636&x-expires=1777777200&x-signature=YUeDA9rf2Ou3I3KvZMHPKvX007Y%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,2026-05-01T04:00:32.651762+00:00
sierrenataraa,7631415756072226078,woah! (dc@EvanDaGreat⁉️🤑) #fyp #dance ,https://www.tiktok.com/@sierrenataraa/video/7631415756072226078,20260422,1776827451,14,9501,1087,20,29,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-p-0068-tx2/oYpDVyopUBYQDAFRlEvQQD8BV6EwAhffYoPDEQ~tplv-tiktokx-origin.image?dr=9636&x-expires=1777777200&x-signature=8TU%2FFWkD4wq6yNbiBQ4txv6xyE4%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,2026-05-01T04:00:32.651762+00:00
sierrenataraa,7630623287877340446,the best if ur a busy college girl like me #fyp #pressonnails #foryou ,https://www.tiktok.com/@sierrenataraa/video/7630623287877340446,20260419,1776642949,23,7291,136,7,3,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-p-0068-tx2/owQT4x9M4AQwBj2fAQLmy1qGVeiftwsIIICnKQ~tplv-tiktokx-origin.image?dr=9636&x-expires=1777777200&x-signature=Mie%2BNuHhWU7%2BEStkHbQVJwBYUsc%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,2026-05-01T04:00:32.651762+00:00
sierrenataraa,7629838318221495583,the beach is good for the soul 🌞,https://www.tiktok.com/@sierrenataraa/video/7629838318221495583,20260417,1776460191,15,3970,299,6,5,https://p19-common-sign.tiktokcdn-us.com/tos-useast8-p-0068-tx2/osIQacuQEDo4GVIit6FvAEQERA4GDK4fEUBpeq~tplv-tiktokx-origin.image?dr=9636&x-expires=1777777200&x-signature=uRsG77E3hRNEwfOQqenRk%2FkeGcQ%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,2026-05-01T04:00:32.651762+00:00
sierrenataraa,7627970340005711134,y’all asked for more I shall deliver 🕺🏽 @MOTEL #motelfestival #festiv...,https://www.tiktok.com/@sierrenataraa/video/7627970340005711134,20260412,1776025264,15,8888,843,10,43,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-p-0068-tx2/oo2EwfprQRzIqttC03ODfIgj1TAFDtfA6mLTQS~tplv-tiktokx-origin.image?dr=9636&x-expires=1777777200&x-signature=34dhT6%2FzQ0v36TytPbDJeQ%2FQsjk%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,2026-05-01T04:00:32.651762+00:00
sierrenataraa,7627715031068609823,what I’d be wearing if I was at Coachella 🤩 @MOTEL #motelfestival #fe...,https://www.tiktok.com/@sierrenataraa/video/7627715031068609823,20260412,1775965819,9,4308,258,7,4,https://p19-common-sign.tiktokcdn-us.com/tos-useast8-p-0068-tx2/oYEsWeCaIEWP6v1ExFpEbDnB2IYsV1rfAAtFjR~tplv-tiktokx-origin.image?dr=9636&x-expires=1777777200&x-signature=KBi8AepcuzcbogHBkMYSBMdtxPI%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,2026-05-01T04:00:32.651762+00:00
sierrenataraa,7623916192306154783,quick little hairstyle for when i’m in a rush #fyp #curlyhair ,https://www.tiktok.com/@sierrenataraa/video/7623916192306154783,20260401,1775081341,54,5508,258,2,2,https://p16-common-sign.tiktokcdn-us.com/tos-useast8-p-0068-tx2/ocilb8diE3cPWVaBIVtAPuvb7jIBB2RNOKETA~tplv-tiktokx-origin.image?dr=9636&x-expires=1777777200&x-signature=aPKJgZE1w2fqllu%2FwTsuAasAbo0%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,2026-05-01T04:00:32.651762+00:00
sierrenataraa,7623251310648790303,should I rock the afro??🤔 #fyp #curlyhair #afro ,https://www.tiktok.com/@sierrenataraa/video/7623251310648790303,20260331,1774926527,35,6146,316,18,6,https://p19-common-sign.tiktokcdn-us.com/tos-useast8-p-0068-tx2/oozdYDX4puEWfTEWB8FEAgDSEyARHT9QQUfpVz~tplv-tiktokx-origin.image?dr=9636&x-expires=1777777200&x-signature=na1Pz8CzctzcTw8TqH68Ljpsz%2Fw%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,2026-05-01T04:00:32.651762+00:00
